28899 2237352
1996 26 -1.386294361119891
1996 15 -1.386294361119891
1996 21 -1.386294361119891
1997 50 -1.265666373331276
1997 313 -4.579852378003801
1997 27 -4.174387269895637
1997 26 -2.633942228948488
1997 69 -2.328560579397307
1997 74 -4.579852378003801
1997 15 -3.886705197443856
1997 88 -1.422851956853688
1997 8 -2.875104285765376
1997 3221 -5.272999558563747
1997 0 -5.272999558563747
1997 1416 -4.579852378003801
1997 19 -3.481240089335692
1997 62 -5.272999558563747
1997 21 -4.174387269895637
1997 430 -5.272999558563747
1997 1 -4.579852378003801
1997 1575 -5.272999558563747
1997 478 -5.272999558563747
1997 274 -5.272999558563747
1997 2323 -5.272999558563747
1997 1083 -5.272999558563747
1997 598 -5.272999558563747
1997 980 -5.272999558563747
1997 16253 -5.272999558563747
1997 681 -5.272999558563747
1997 965 -5.272999558563747
1997 47 -4.579852378003801
1997 165 -5.272999558563747
1997 24 -4.579852378003801
1997 11 -5.272999558563747
1997 1385 -5.272999558563747
1997 690 -5.272999558563747
1997 10 -5.272999558563747
1997 757 -5.272999558563747
1997 1857 -5.272999558563747
1998 50 -3.401197381662155
1998 15 -0.310154928303840
1998 26 -2.302585092994045
1998 88 -3.401197381662155
1998 60 -3.401197381662155
1998 432 -3.401197381662155
1998 21 -3.401197381662155
1999 19 -2.397895272798371
1999 21 -1.704748092238425
1999 430 -1.299282984130261
1999 42 -2.397895272798371
1999 50 -2.397895272798371
1999 350 -2.397895272798371
1999 47 -2.397895272798371
1999 2882 -2.397895272798371
2000 10 -2.140066163496271
2000 8 -1.734601055388106
2000 129 -2.833213344056216
2000 21 -1.223775431622116
2000 17350 -2.833213344056216
2000 19 -2.140066163496271
2000 1137 -2.833213344056216
2000 430 -2.833213344056216
2000 26 -2.833213344056216
2001 10 -1.897119984885881
2001 19 -2.302585092994045
2001 15 -1.386294361119891
2001 4358 -2.995732273553991
2001 1056 -2.995732273553991
2001 11 -2.995732273553991
2001 920 -2.995732273553991
2001 42 -2.995732273553991
2001 6553 -2.995732273553991
2001 1318 -2.995732273553991
2001 3001 -2.995732273553991
2001 4565 -2.995732273553991
2001 2691 -2.995732273553991
2002 15 -1.071739270417013
2002 50 -3.603165935839907
2002 946 -5.549076084895220
2002 793 -2.604637105728779
2002 6012 -5.549076084895220
2002 12 -4.450463796227110
2002 26 -2.910018755279961
2002 107 -4.450463796227110
2002 11522 -4.450463796227110
2002 1385 -4.450463796227110
2002 12033 -5.549076084895220
2002 366 -4.855928904335275
2002 7374 -5.549076084895220
2002 1567 -5.549076084895220
2002 797 -5.549076084895220
2002 2526 -5.549076084895220
2002 129 -4.855928904335275
2002 15743 -4.450463796227110
2002 697 -5.549076084895220
2002 661 -5.549076084895220
2002 11730 -5.549076084895220
2002 604 -5.549076084895220
2002 798 -5.549076084895220
2002 851 -4.450463796227110
2002 474 -3.939638172461120
2002 0 -4.855928904335275
2002 8 -2.984126727433683
2002 7722 -5.549076084895220
2002 21 -4.162781723775329
2002 965 -4.450463796227110
2002 785 -5.549076084895220
2002 74 -5.549076084895220
2002 166 -5.549076084895220
2002 11 -3.351851507559001
2002 528 -5.549076084895220
2002 138 -5.549076084895220
2002 741 -5.549076084895220
2002 60 -4.855928904335275
2002 3548 -5.549076084895220
2002 30 -5.549076084895220
2002 69 -5.549076084895220
2002 10 -5.549076084895220
2002 1474 -5.549076084895220
2002 9797 -5.549076084895220
2002 1901 -3.151180812096849
2002 1492 -4.855928904335275
2002 47 -4.162781723775329
2002 18240 -5.549076084895220
2002 1266 -5.549076084895220
2002 1378 -5.549076084895220
2002 48 -5.549076084895220
2002 283 -4.855928904335275
2002 664 -4.450463796227110
2002 42 -5.549076084895220
2002 9314 -5.549076084895220
2002 350 -5.549076084895220
2002 28287 -4.855928904335275
2002 88 -4.450463796227110
2002 1217 -5.549076084895220
2002 3992 -5.549076084895220
2002 13422 -5.549076084895220
2002 2407 -5.549076084895220
2002 975 -5.549076084895220
2002 11047 -4.855928904335275
2002 4752 -5.549076084895220
2002 7054 -4.855928904335275
2003 8 -2.743768283704289
2003 10 -2.743768283704289
2003 584 -5.141663556502660
2003 21 -2.197224577336220
2003 26 -2.369074834262879
2003 366 -5.141663556502660
2003 10777 -4.448516375942715
2003 544 -4.043051267834550
2003 47 -5.141663556502660
2003 74 -2.743768283704289
2003 14565 -5.141663556502660
2003 851 -5.141663556502660
2003 129 -4.043051267834550
2003 1385 -5.141663556502660
2003 432 -4.043051267834550
2003 206 -5.141663556502660
2003 278 -2.839078463508614
2003 88 -3.195753407447346
2003 17867 -4.043051267834550
2003 899 -5.141663556502660
2003 1331 -5.141663556502660
2003 10771 -4.448516375942715
2003 511 -5.141663556502660
2003 884 -5.141663556502660
2003 1333 -5.141663556502660
2003 431 -4.043051267834550
2003 60 -4.448516375942715
2003 35 -3.532225644068559
2003 336 -5.141663556502660
2003 155 -4.448516375942715
2003 107 -5.141663556502660
2003 19 -3.349904087274605
2003 1083 -4.448516375942715
2003 303 -5.141663556502660
2003 2624 -5.141663556502660
2003 50 -2.839078463508614
2003 746 -5.141663556502660
2003 25555 -5.141663556502660
2003 149 -4.043051267834550
2003 13476 -5.141663556502660
2003 682 -5.141663556502660
2003 265 -4.448516375942715
2003 98 -5.141663556502660
2003 7618 -5.141663556502660
2003 12 -5.141663556502660
2003 10009 -4.448516375942715
2003 11956 -5.141663556502660
2003 2595 -5.141663556502660
2003 28264 -5.141663556502660
2003 16091 -5.141663556502660
2003 365 -5.141663556502660
2003 0 -5.141663556502660
2003 1069 -4.448516375942715
2003 57 -5.141663556502660
2003 1035 -5.141663556502660
2004 26 -2.479335604738545
2004 21 -1.511085133933679
2004 74 -3.047319642344484
2004 24 -2.384025424934220
2004 27 -2.513237156414226
2004 10 -2.702479156052755
2004 8 -3.172482785298490
2004 432 -5.187385805840755
2004 1988 -5.880532986400700
2004 1069 -4.271095073966600
2004 86 -5.880532986400700
2004 1557 -5.880532986400700
2004 57 -3.577947893406655
2004 19 -3.577947893406655
2004 1406 -5.187385805840755
2004 69 -5.880532986400700
2004 50 -4.781920697732590
2004 344 -5.187385805840755
2004 2986 -5.880532986400700
2004 1186 -5.880532986400700
2004 134 -4.781920697732590
2004 45 -5.880532986400700
2004 109 -5.880532986400700
2004 51 -5.880532986400700
2004 8395 -5.880532986400700
2004 241 -5.880532986400700
2004 1619 -5.880532986400700
2004 336 -5.187385805840755
2004 4298 -5.880532986400700
2004 899 -5.187385805840755
2004 60 -4.781920697732590
2004 494 -5.880532986400700
2004 478 -5.187385805840755
2004 129 -4.781920697732590
2004 2758 -5.880532986400700
2004 149 -5.187385805840755
2004 77 -5.187385805840755
2004 365 -4.781920697732590
2004 156 -4.494238625280810
2004 115 -5.187385805840755
2004 12 -5.880532986400700
2004 4 -5.187385805840755
2004 3039 -5.880532986400700
2004 107 -4.781920697732590
2004 48 -5.880532986400700
2004 23584 -5.880532986400700
2004 15965 -5.880532986400700
2004 17643 -5.880532986400700
2004 3281 -5.880532986400700
2004 157 -5.880532986400700
2004 1162 -5.880532986400700
2004 983 -5.880532986400700
2004 1855 -5.880532986400700
2004 33 -4.494238625280810
2004 2227 -5.880532986400700
2004 2208 -5.880532986400700
2004 8053 -5.880532986400700
2004 88 -4.494238625280810
2004 429 -5.880532986400700
2004 928 -5.880532986400700
2004 303 -5.187385805840755
2004 2009 -5.880532986400700
2004 104 -5.880532986400700
2004 281 -5.880532986400700
2004 667 -5.880532986400700
2004 70 -5.880532986400700
2004 11 -4.781920697732590
2004 5268 -5.880532986400700
2004 300 -5.880532986400700
2004 946 -5.187385805840755
2004 1083 -5.880532986400700
2004 1115 -5.880532986400700
2004 592 -5.880532986400700
2004 413 -5.880532986400700
2004 3453 -5.880532986400700
2004 3084 -5.880532986400700
2004 194 -5.880532986400700
2004 1921 -5.880532986400700
2004 1049 -5.880532986400700
2004 5437 -5.880532986400700
2004 3186 -5.880532986400700
2005 2006 -3.663561646129646
2005 12 -3.663561646129646
2005 539 -3.663561646129646
2005 107 -2.564949357461537
2005 129 -2.277267285009756
2005 19 -2.277267285009756
2005 8 -1.871802176901591
2005 295 -3.663561646129646
2005 142 -3.663561646129646
2005 6255 -3.663561646129646
2005 5534 -3.663561646129646
2005 2632 -3.663561646129646
2005 502 -3.663561646129646
2005 15 -2.564949357461537
2005 0 -2.054123733695546
2005 2882 -3.663561646129646
2005 26 -3.663561646129646
2005 4228 -3.663561646129646
2005 303 -3.663561646129646
2005 194 -3.663561646129646
2006 26 -2.197224577336220
2006 21 -1.686398953570229
2006 50 -2.602689685444384
2006 549 -3.295836866004329
2006 129 -3.295836866004329
2006 33 -3.295836866004329
2006 4681 -3.295836866004329
2006 60 -3.295836866004329
2006 8 -1.504077396776274
2006 1678 -3.295836866004329
2006 74 -2.602689685444384
2006 10 -3.295836866004329
2006 327 -3.295836866004329
2006 303 -3.295836866004329
2007 175 -4.644390899141372
2007 1924 -3.545778610473263
2007 50 -2.564949357461537
2007 2105 -2.852631429913318
2007 8174 -4.644390899141372
2007 88 -4.644390899141372
2007 5985 -3.951243718581427
2007 10516 -3.545778610473263
2007 5122 -4.644390899141372
2007 7539 -3.951243718581427
2007 5880 -3.951243718581427
2007 24 -4.644390899141372
2007 16688 -4.644390899141372
2007 365 -4.644390899141372
2007 664 -4.644390899141372
2007 2180 -3.545778610473263
2007 11 -2.852631429913318
2007 586 -4.644390899141372
2007 2746 -4.644390899141372
2007 1 -4.644390899141372
2007 1062 -4.644390899141372
2007 21 -3.545778610473263
2007 107 -3.951243718581427
2007 2731 -4.644390899141372
2007 16726 -4.644390899141372
2007 1973 -3.258096538021482
2007 6856 -3.951243718581427
2007 74 -4.644390899141372
2007 2812 -3.951243718581427
2007 9214 -4.644390899141372
2007 7480 -4.644390899141372
2007 26 -3.951243718581427
2007 1678 -4.644390899141372
2007 1997 -4.644390899141372
2007 101 -3.034952986707272
2007 8214 -3.951243718581427
2007 8673 -4.644390899141372
2007 1178 -3.951243718581427
2007 11826 -4.644390899141372
2007 6585 -4.644390899141372
2007 4503 -4.644390899141372
2007 3798 -3.951243718581427
2007 965 -4.644390899141372
2007 5338 -3.951243718581427
2007 11515 -4.644390899141372
2007 1995 -3.951243718581427
2007 2815 -4.644390899141372
2007 3827 -4.644390899141372
2007 15 -4.644390899141372
2007 661 -4.644390899141372
2007 12 -3.951243718581427
2007 1689 -4.644390899141372
2007 1681 -4.644390899141372
2007 1072 -4.644390899141372
2007 3721 -4.644390899141372
2007 8 -3.951243718581427
2007 742 -4.644390899141372
2007 1404 -4.644390899141372
2008 26 -1.925290861852577
2008 15 -2.261763098473791
2008 107 -3.178053830347946
2008 274 -3.871201010907891
2008 3521 -3.871201010907891
2008 0 -3.871201010907891
2008 18901 -3.871201010907891
2008 19 -3.871201010907891
2008 8 -2.484906649788000
2008 11983 -1.673976433571672
2008 74 -3.871201010907891
2008 13464 -3.871201010907891
2008 6707 -3.871201010907891
2008 11 -3.178053830347946
2008 7483 -3.871201010907891
2008 175 -3.871201010907891
2008 413 -3.871201010907891
2008 682 -3.871201010907891
2008 12 -3.871201010907891
2008 965 -3.871201010907891
2008 618 -3.871201010907891
2008 549 -3.871201010907891
2008 429 -3.871201010907891
2008 1751 -3.871201010907891
2008 21 -3.871201010907891
2009 50 -4.686750172980514
2009 21 -3.433987204485146
2009 8 -2.740840023925201
2009 500 -4.686750172980514
2009 15 -1.016798728752097
2009 26 -2.814947996078923
2009 74 -3.508095176638868
2009 8110 -5.379897353540460
2009 19 -3.300455811860624
2009 0 -4.974432245432295
2009 10819 -6.073044534100405
2009 11 -3.300455811860624
2009 965 -6.073044534100405
2009 1385 -6.073044534100405
2009 1527 -4.281285064872350
2009 7220 -6.073044534100405
2009 664 -5.379897353540460
2009 6701 -3.993602992420569
2009 796 -6.073044534100405
2009 1 -3.128605554933964
2009 6533 -4.974432245432295
2009 3293 -4.281285064872350
2009 12 -5.379897353540460
2009 88 -5.379897353540460
2009 149 -5.379897353540460
2009 6648 -6.073044534100405
2009 525 -6.073044534100405
2009 432 -6.073044534100405
2009 47 -4.974432245432295
2009 19961 -6.073044534100405
2009 8495 -5.379897353540460
2009 107 -5.379897353540460
2009 366 -6.073044534100405
2009 6035 -6.073044534100405
2009 264 -3.588137884312404
2009 862 -6.073044534100405
2009 4579 -6.073044534100405
2009 303 -5.379897353540460
2009 12661 -6.073044534100405
2009 2691 -4.686750172980514
2009 4371 -6.073044534100405
2009 7122 -6.073044534100405
2009 4287 -4.974432245432295
2009 576 -4.686750172980514
2009 3044 -6.073044534100405
2009 7456 -6.073044534100405
2009 12029 -6.073044534100405
2009 3869 -6.073044534100405
2009 2392 -6.073044534100405
2009 24 -4.686750172980514
2009 1300 -6.073044534100405
2009 10 -4.974432245432295
2009 1700 -6.073044534100405
2009 3095 -6.073044534100405
2009 138 -6.073044534100405
2009 133 -6.073044534100405
2009 2180 -6.073044534100405
2009 757 -6.073044534100405
2009 18599 -6.073044534100405
2009 129 -6.073044534100405
2009 2358 -6.073044534100405
2009 1187 -6.073044534100405
2009 7917 -6.073044534100405
2009 397 -5.379897353540460
2009 7218 -6.073044534100405
2009 7774 -6.073044534100405
2009 8543 -6.073044534100405
2009 6472 -5.379897353540460
2009 3678 -6.073044534100405
2009 7927 -6.073044534100405
2009 335 -6.073044534100405
2009 5985 -4.686750172980514
2009 2928 -6.073044534100405
2009 597 -5.379897353540460
2009 210 -6.073044534100405
2009 4356 -6.073044534100405
2009 1297 -6.073044534100405
2009 69 -6.073044534100405
2009 4070 -5.379897353540460
2009 784 -6.073044534100405
2009 56 -6.073044534100405
2009 42 -5.379897353540460
2009 313 -6.073044534100405
2009 26462 -6.073044534100405
2010 50 -0.887303195000903
2010 4481 -1.916922612182061
2010 2888 -3.526360524616162
2010 144 -3.526360524616162
2010 303 -3.526360524616162
2010 11421 -3.526360524616162
2010 10 -3.526360524616162
2010 12 -3.526360524616162
2010 19 -3.526360524616162
2010 1358 -3.526360524616162
2010 4180 -3.526360524616162
2010 8479 -3.526360524616162
2010 74 -3.526360524616162
2010 149 -3.526360524616162
2010 387 -3.526360524616162
2010 336 -3.526360524616162
2010 432 -3.526360524616162
2011 8 -2.397895272798371
2011 74 -2.397895272798371
2011 24 -3.496507561466480
2011 21 -1.098612288668110
2011 107 -1.299282984130261
2011 19 -2.803360380906535
2011 1950 -3.496507561466480
2011 1385 -3.496507561466480
2011 432 -3.496507561466480
2011 26 -3.496507561466480
2012 879 -3.931825632724326
2012 50 -3.644143560272545
2012 474 -2.391380591777177
2012 26 -2.727852828398390
2012 1471 -5.030437921392435
2012 74 -2.950996379712600
2012 15 -1.341558467278499
2012 8 -3.084527772337122
2012 1741 -3.931825632724326
2012 1567 -4.337290740832490
2012 10 -3.931825632724326
2012 69 -3.644143560272545
2012 1115 -5.030437921392435
2012 1223 -5.030437921392435
2012 57 -4.337290740832490
2012 3014 -3.644143560272545
2012 16951 -5.030437921392435
2012 47 -3.238678452164380
2012 21 -3.421000008958335
2012 131 -5.030437921392435
2012 5601 -5.030437921392435
2012 1827 -5.030437921392435
2012 741 -5.030437921392435
2012 9626 -5.030437921392435
2012 1318 -5.030437921392435
2012 313 -5.030437921392435
2012 806 -5.030437921392435
2012 19 -4.337290740832490
2012 15012 -5.030437921392435
2012 1304 -5.030437921392435
2012 27 -5.030437921392435
2012 672 -4.337290740832490
2012 1575 -5.030437921392435
2012 1761 -5.030437921392435
2012 5011 -5.030437921392435
2012 681 -5.030437921392435
2012 60 -5.030437921392435
2012 2416 -5.030437921392435
2012 411 -5.030437921392435
2012 11463 -5.030437921392435
2012 10956 -5.030437921392435
2012 1385 -5.030437921392435
2012 133 -5.030437921392435
2012 2330 -5.030437921392435
2012 143 -5.030437921392435
2012 5602 -5.030437921392435
2012 18343 -5.030437921392435
2012 42 -5.030437921392435
2012 6143 -5.030437921392435
2012 88 -5.030437921392435
2012 107 -5.030437921392435
2013 1924 -2.995732273553991
2013 50 -2.995732273553991
2013 365 -2.302585092994045
2013 26 -2.302585092994045
2013 672 -2.995732273553991
2013 8 -2.302585092994045
2013 10 -2.995732273553991
2013 11 -2.995732273553991
2013 15 -2.302585092994045
2013 156 -2.995732273553991
2013 60 -2.302585092994045
2013 27 -2.995732273553991
2013 2368 -2.995732273553991
2013 0 -2.995732273553991
2013 21 -2.995732273553991
2014 528 -5.220355825078324
2014 11 -3.610917912644224
2014 26 -2.447767102838544
2014 8 -2.042301994730379
2014 24 -3.428596355850270
2014 74 -2.655406467616788
2014 131 -5.220355825078324
2014 21 -2.329984067182160
2014 19 -2.655406467616788
2014 5277 -5.220355825078324
2014 50 -3.834061463958434
2014 60 -2.655406467616788
2014 15 -2.175833387354902
2014 544 -5.220355825078324
2014 1 -3.274445676023011
2014 1797 -4.527208644518379
2014 129 -4.527208644518379
2014 88 -3.610917912644224
2014 2875 -5.220355825078324
2014 10 -5.220355825078324
2014 27 -5.220355825078324
2014 69 -4.527208644518379
2014 946 -5.220355825078324
2014 107 -5.220355825078324
2014 365 -4.121743536410215
2014 7226 -5.220355825078324
2014 869 -5.220355825078324
2014 716 -5.220355825078324
2014 474 -5.220355825078324
2014 14163 -5.220355825078324
2014 12 -5.220355825078324
2014 719 -4.527208644518379
2014 42 -5.220355825078324
2014 346 -5.220355825078324
2014 0 -5.220355825078324
2014 411 -5.220355825078324
2014 1833 -5.220355825078324
2014 477 -5.220355825078324
2014 1208 -5.220355825078324
2014 86 -5.220355825078324
2014 661 -5.220355825078324
2014 923 -5.220355825078324
2014 2258 -5.220355825078324
2014 336 -5.220355825078324
2014 91 -5.220355825078324
2014 1061 -5.220355825078324
2015 2016 -5.123963979403259
2015 2455 -1.153672065851137
2015 1608 -5.123963979403259
2015 19 -3.737669618283368
2015 10786 -4.430816798843313
2015 3787 -5.123963979403259
2015 4095 -4.025351690735150
2015 1924 -4.430816798843313
2015 1681 -5.123963979403259
2015 4752 -3.044522437723423
2015 2629 -4.430816798843313
2015 5978 -4.430816798843313
2015 10975 -5.123963979403259
2015 1848 -5.123963979403259
2015 8259 -5.123963979403259
2015 9437 -4.025351690735150
2015 26 -3.737669618283368
2015 2251 -5.123963979403259
2015 2340 -3.737669618283368
2015 4391 -5.123963979403259
2015 15005 -5.123963979403259
2015 3806 -3.737669618283368
2015 58 -5.123963979403259
2015 22 -4.430816798843313
2015 2038 -5.123963979403259
2015 2364 -4.430816798843313
2015 798 -5.123963979403259
2015 1366 -5.123963979403259
2015 1509 -5.123963979403259
2015 13862 -5.123963979403259
2015 1843 -3.737669618283368
2015 7321 -5.123963979403259
2015 527 -4.430816798843313
2015 7768 -5.123963979403259
2015 4078 -4.430816798843313
2015 1925 -5.123963979403259
2015 10246 -5.123963979403259
2015 530 -5.123963979403259
2015 2056 -5.123963979403259
2015 2320 -5.123963979403259
2015 3479 -5.123963979403259
2015 2192 -5.123963979403259
2015 3 -5.123963979403259
2015 16401 -4.430816798843313
2015 9475 -5.123963979403259
2015 371 -4.025351690735150
2015 2381 -5.123963979403259
2015 2360 -4.430816798843313
2015 3795 -5.123963979403259
2015 7843 -4.025351690735150
2015 5435 -4.430816798843313
2015 1 -5.123963979403259
2015 2252 -5.123963979403259
2015 5730 -5.123963979403259
2015 3586 -5.123963979403259
2015 4306 -4.430816798843313
2015 14514 -5.123963979403259
2015 2377 -5.123963979403259
2015 3302 -5.123963979403259
2015 1462 -5.123963979403259
2015 18931 -5.123963979403259
2015 9695 -5.123963979403259
2015 12 -5.123963979403259
2015 10312 -5.123963979403259
2015 5782 -5.123963979403259
2015 1298 -5.123963979403259
2015 3969 -5.123963979403259
2015 5758 -5.123963979403259
2015 15393 -5.123963979403259
2015 3721 -5.123963979403259
2015 11066 -4.430816798843313
2015 16902 -5.123963979403259
2015 11007 -5.123963979403259
2016 8 -1.791759469228055
2016 15 -2.484906649788000
2016 474 -2.484906649788000
2016 88 -1.791759469228055
2016 74 -1.791759469228055
2016 21 -2.484906649788000
2016 661 -2.484906649788000
2016 26 -2.484906649788000
2016 3021 -2.484906649788000
2017 10 -1.067840630001356
2017 6691 -2.772588722239781
2017 5197 -3.465735902799727
2017 13203 -3.465735902799727
2017 16047 -3.465735902799727
2017 930 -3.465735902799727
2017 6191 -3.465735902799727
2017 5076 -3.465735902799727
2017 3383 -3.465735902799727
2017 2220 -3.465735902799727
2017 1914 -3.465735902799727
2017 7617 -3.465735902799727
2017 57 -3.465735902799727
2017 26584 -3.465735902799727
2017 33 -3.465735902799727
2017 318 -3.465735902799727
2017 2197 -3.465735902799727
2017 5574 -3.465735902799727
2017 6704 -3.465735902799727
2017 70 -3.465735902799727
2017 1619 -3.465735902799727
2018 2019 -3.467093676260187
2018 22 -2.690564886761190
2018 3353 -5.503975603521227
2018 4759 -5.909440711629391
2018 12 -4.037638534727800
2018 257 -6.602587892189336
2018 3321 -6.602587892189336
2018 2220 -5.909440711629391
2018 339 -5.216293531069446
2018 909 -6.602587892189336
2018 6676 -6.602587892189336
2018 643 -5.909440711629391
2018 3625 -5.909440711629391
2018 7219 -6.602587892189336
2018 7222 -6.602587892189336
2018 5519 -6.602587892189336
2018 7491 -5.909440711629391
2018 3787 -5.503975603521227
2018 2926 -6.602587892189336
2018 6953 -5.909440711629391
2018 7656 -5.909440711629391
2018 7755 -6.602587892189336
2018 6993 -6.602587892189336
2018 7546 -5.909440711629391
2018 1459 -6.602587892189336
2018 8040 -5.503975603521227
2018 5353 -5.909440711629391
2018 5147 -5.909440711629391
2018 6450 -6.602587892189336
2018 7326 -5.909440711629391
2018 5154 -5.909440711629391
2018 107 -6.602587892189336
2018 3478 -6.602587892189336
2018 530 -5.216293531069446
2018 9502 -6.602587892189336
2018 9442 -6.602587892189336
2018 9469 -6.602587892189336
2018 671 -5.503975603521227
2018 5689 -4.993149979755236
2018 5197 -5.503975603521227
2018 1894 -5.909440711629391
2018 7927 -6.602587892189336
2018 4409 -6.602587892189336
2018 1750 -4.993149979755236
2018 7023 -6.602587892189336
2018 11190 -6.602587892189336
2018 1105 -6.602587892189336
2018 6759 -6.602587892189336
2018 26 -4.037638534727800
2018 19 -5.216293531069446
2018 629 -5.909440711629391
2018 1527 -5.909440711629391
2018 480 -5.909440711629391
2018 2339 -3.558065454465914
2018 3186 -5.909440711629391
2018 5089 -6.602587892189336
2018 35 -4.523146350509501
2018 7045 -6.602587892189336
2018 6540 -6.602587892189336
2018 7105 -6.602587892189336
2018 12303 -5.909440711629391
2018 6 -5.216293531069446
2018 2897 -4.523146350509501
2018 273 -6.602587892189336
2018 707 -5.503975603521227
2018 7873 -6.602587892189336
2018 1290 -6.602587892189336
2018 6340 -5.909440711629391
2018 8689 -6.602587892189336
2018 11620 -5.909440711629391
2018 6301 -6.602587892189336
2018 10871 -6.602587892189336
2018 13239 -6.602587892189336
2018 5150 -6.602587892189336
2018 5180 -6.602587892189336
2018 6857 -5.909440711629391
2018 2002 -6.602587892189336
2018 1905 -5.909440711629391
2018 6907 -6.602587892189336
2018 7197 -6.602587892189336
2018 8202 -6.602587892189336
2018 639 -5.503975603521227
2018 9547 -6.602587892189336
2018 5103 -6.602587892189336
2018 13836 -6.602587892189336
2018 2607 -6.602587892189336
2018 5955 -5.503975603521227
2018 8 -4.523146350509501
2018 14508 -5.503975603521227
2018 10354 -6.602587892189336
2018 14632 -6.602587892189336
2018 11441 -6.602587892189336
2018 14856 -6.602587892189336
2018 2518 -4.656677743134023
2018 5445 -5.909440711629391
2018 9848 -4.810828422961282
2018 4476 -6.602587892189336
2018 13999 -6.602587892189336
2018 1283 -5.503975603521227
2018 3129 -6.602587892189336
2018 2822 -4.523146350509501
2018 104 -6.602587892189336
2018 6402 -6.602587892189336
2018 2891 -6.602587892189336
2018 7240 -6.602587892189336
2018 13000 -6.602587892189336
2018 15931 -6.602587892189336
2018 2687 -6.602587892189336
2018 1520 -6.602587892189336
2018 5978 -6.602587892189336
2018 3363 -6.602587892189336
2018 1430 -6.602587892189336
2018 1090 -6.602587892189336
2018 2315 -6.602587892189336
2018 920 -6.602587892189336
2018 2009 -5.503975603521227
2018 11637 -6.602587892189336
2018 2060 -5.909440711629391
2018 13429 -6.602587892189336
2018 6353 -6.602587892189336
2018 9698 -6.602587892189336
2018 13967 -6.602587892189336
2018 250 -6.602587892189336
2018 14211 -6.602587892189336
2018 13459 -6.602587892189336
2018 14345 -6.602587892189336
2018 1126 -5.909440711629391
2018 295 -5.909440711629391
2018 2099 -6.602587892189336
2018 846 -6.602587892189336
2018 2720 -4.656677743134023
2018 2493 -5.216293531069446
2018 6343 -6.602587892189336
2018 1961 -5.503975603521227
2018 2856 -5.909440711629391
2018 2922 -6.602587892189336
2018 3149 -6.602587892189336
2018 1183 -5.909440711629391
2018 4911 -6.602587892189336
2018 6515 -6.602587892189336
2018 14815 -6.602587892189336
2018 2743 -6.602587892189336
2018 3178 -6.602587892189336
2018 9494 -6.602587892189336
2018 1908 -6.602587892189336
2018 5704 -5.909440711629391
2018 12921 -6.602587892189336
2018 10528 -6.602587892189336
2018 3555 -5.909440711629391
2018 27 -6.602587892189336
2018 9879 -5.909440711629391
2018 1530 -6.602587892189336
2018 18711 -6.602587892189336
2018 4577 -5.503975603521227
2018 1824 -6.602587892189336
2018 1945 -6.602587892189336
2018 1864 -6.602587892189336
2018 13540 -4.523146350509501
2018 20989 -6.602587892189336
2018 4022 -5.503975603521227
2018 2233 -6.602587892189336
2018 584 -6.602587892189336
2018 13758 -6.602587892189336
2018 15998 -5.909440711629391
2018 3299 -6.602587892189336
2018 21660 -6.602587892189336
2018 4921 -5.909440711629391
2018 1910 -5.909440711629391
2018 6153 -6.602587892189336
2018 10142 -5.909440711629391
2018 3515 -5.909440711629391
2018 21031 -5.909440711629391
2018 6211 -5.909440711629391
2018 4639 -6.602587892189336
2018 12954 -5.909440711629391
2018 3215 -5.503975603521227
2018 496 -5.216293531069446
2018 22460 -5.216293531069446
2018 893 -6.602587892189336
2018 8297 -6.602587892189336
2018 934 -6.602587892189336
2018 13717 -5.909440711629391
2018 4307 -5.909440711629391
2018 3259 -6.602587892189336
2018 1140 -6.602587892189336
2018 6452 -6.602587892189336
2018 8825 -6.602587892189336
2018 11392 -5.909440711629391
2018 3816 -6.602587892189336
2018 13081 -6.602587892189336
2018 5896 -5.909440711629391
2018 9450 -5.503975603521227
2018 9999 -6.602587892189336
2018 22798 -6.602587892189336
2018 15735 -6.602587892189336
2018 9420 -6.602587892189336
2018 74 -5.909440711629391
2018 23029 -6.602587892189336
2018 17280 -6.602587892189336
2018 1374 -4.523146350509501
2018 4481 -6.602587892189336
2018 12640 -6.602587892189336
2018 12004 -6.602587892189336
2018 23241 -6.602587892189336
2018 7280 -6.602587892189336
2018 3817 -6.602587892189336
2018 708 -5.909440711629391
2018 3636 -6.602587892189336
2018 11559 -6.602587892189336
2018 3678 -5.909440711629391
2018 1687 -6.602587892189336
2018 3647 -6.602587892189336
2018 4368 -6.602587892189336
2018 7951 -5.909440711629391
2018 20608 -6.602587892189336
2018 7343 -6.602587892189336
2018 22373 -6.602587892189336
2018 7749 -6.602587892189336
2018 579 -5.909440711629391
2018 894 -6.602587892189336
2018 3850 -6.602587892189336
2018 5906 -6.602587892189336
2018 2389 -6.602587892189336
2018 94 -6.602587892189336
2018 275 -5.909440711629391
2018 1217 -6.602587892189336
2018 15 -5.503975603521227
2018 11 -5.909440711629391
2018 12074 -5.503975603521227
2018 2536 -6.602587892189336
2018 1670 -5.909440711629391
2018 50 -6.602587892189336
2018 617 -5.909440711629391
2018 304 -5.909440711629391
2018 202 -6.602587892189336
2018 2824 -6.602587892189336
2018 13890 -5.909440711629391
2018 159 -6.602587892189336
2018 5194 -6.602587892189336
2018 3490 -5.909440711629391
2018 21680 -6.602587892189336
2018 3971 -5.503975603521227
